"Ano","Especie","Anos de Servico do Segurado","Sexo","Clientela","Qte Beneficios Concedidos","Vlr Beneficios Concedidos (R$)","Vlr Benef Concedidos (Mil R$)"
"2018","46-Ap Tempo Contrib Especial","15","Masculino","Urbana","153","507764.54","507.76"
"2018","46-Ap Tempo Contrib Especial","16","Masculino","Urbana","41","147390.04","147.39"
"2018","46-Ap Tempo Contrib Especial","17","Masculino","Urbana","29","90720.51","90.72"
"2018","46-Ap Tempo Contrib Especial","18","Masculino","Urbana","35","110940.54","110.94"
"2018","46-Ap Tempo Contrib Especial","19","Masculino","Urbana","27","106461.39","106.46"
"2018","46-Ap Tempo Contrib Especial","20","Masculino","Urbana","60","216805.82","216.81"
"2018","46-Ap Tempo Contrib Especial","21","Masculino","Urbana","24","80873.35","80.87"
"2018","46-Ap Tempo Contrib Especial","22","Masculino","Urbana","25","96006.68","96.01"
"2018","46-Ap Tempo Contrib Especial","23","Masculino","Urbana","16","62939.13","62.94"
"2018","46-Ap Tempo Contrib Especial","24","Masculino","Urbana","21","58868.40","58.87"
"2018","46-Ap Tempo Contrib Especial","25","Masculino","Urbana","8972","32318378.43","32318.38"
"2018","46-Ap Tempo Contrib Especial","26","Masculino","Urbana","3219","11488069.63","11488.07"
"2018","46-Ap Tempo Contrib Especial","27","Masculino","Urbana","2097","7712516.04","7712.52"
"2018","46-Ap Tempo Contrib Especial","28","Masculino","Urbana","1365","4997849.63","4997.85"
"2018","46-Ap Tempo Contrib Especial","29","Masculino","Urbana","900","3323328.60","3323.33"
"2018","46-Ap Tempo Contrib Especial","30","Masculino","Urbana","525","1876008.06","1876.01"
"2018","46-Ap Tempo Contrib Especial","31","Masculino","Urbana","325","1171100.13","1171.10"
"2018","46-Ap Tempo Contrib Especial","32","Masculino","Urbana","182","679485.93","679.49"
"2018","46-Ap Tempo Contrib Especial","33","Masculino","Urbana","107","369759.45","369.76"
"2018","46-Ap Tempo Contrib Especial","34","Masculino","Urbana","65","226637.67","226.64"
"2018","46-Ap Tempo Contrib Especial","35","Masculino","Urbana","54","180239.97","180.24"
"2018","46-Ap Tempo Contrib Especial","36","Masculino","Urbana","16","66386.90","66.39"
"2018","46-Ap Tempo Contrib Especial","37","Masculino","Urbana","6","15733.35","15.73"
"2018","46-Ap Tempo Contrib Especial","38","Masculino","Urbana","5","15059.82","15.06"
"2018","46-Ap Tempo Contrib Especial","40","Masculino","Urbana","14","54154.71","54.15"
"2018","46-Ap Tempo Contrib Especial","15","Feminino","Urbana","2","3793.10","3.79"
"2018","46-Ap Tempo Contrib Especial","16","Feminino","Urbana","2","7374.41","7.37"
"2018","46-Ap Tempo Contrib Especial","17","Feminino","Urbana","3","4645.97","4.65"
"2018","46-Ap Tempo Contrib Especial","18","Feminino","Urbana","2","6627.43","6.63"
"2018","46-Ap Tempo Contrib Especial","20","Feminino","Urbana","7","13600.19","13.60"
"2018","46-Ap Tempo Contrib Especial","21","Feminino","Urbana","9","19610.39","19.61"
"2018","46-Ap Tempo Contrib Especial","22","Feminino","Urbana","9","20189.47","20.19"
"2018","46-Ap Tempo Contrib Especial","23","Feminino","Urbana","6","14636.25","14.64"
"2018","46-Ap Tempo Contrib Especial","24","Feminino","Urbana","8","19366.16","19.37"
"2018","46-Ap Tempo Contrib Especial","25","Feminino","Urbana","1587","4351095.15","4351.10"
"2018","46-Ap Tempo Contrib Especial","26","Feminino","Urbana","469","1313703.81","1313.70"
"2018","46-Ap Tempo Contrib Especial","27","Feminino","Urbana","288","817819.93","817.82"
"2018","46-Ap Tempo Contrib Especial","28","Feminino","Urbana","123","337110.65","337.11"
"2018","46-Ap Tempo Contrib Especial","29","Feminino","Urbana","66","195995.88","196.00"
"2018","46-Ap Tempo Contrib Especial","30","Feminino","Urbana","43","131111.88","131.11"
"2018","46-Ap Tempo Contrib Especial","31","Feminino","Urbana","11","46535.12","46.54"
"2018","46-Ap Tempo Contrib Especial","32","Feminino","Urbana","7","21193.10","21.19"
"2018","46-Ap Tempo Contrib Especial","33","Feminino","Urbana","3","9673.54","9.67"
"2018","46-Ap Tempo Contrib Especial","35","Feminino","Urbana","4","8441.94","8.44"
"2018","46-Ap Tempo Contrib Especial","37","Feminino","Urbana","1","1164.83","1.16"
"2018","46-Ap Tempo Contrib Especial","38","Feminino","Urbana","1","1153.38","1.15"
"2018","46-Ap Tempo Contrib Especial","39","Feminino","Urbana","1","3759.71","3.76"
